date,road_team,home_team,road_starter,home_starter,home_closing,road_closing
2019-04-23,NYY,ANA,germd001,strac001,-105.0,-105.0
2019-04-23,CHW,BAL,novai001,casha001,126.0,-136.0
2019-04-23,DET,BOS,boydm001,salec001,-220.0,200.0
2019-04-23,DET,BOS,turns003,velah001,-180.0,165.0
2019-04-23,LAD,CHC,maedk001,quinj001,-110.0,100.0
2019-04-23,ATL,CIN,gausk001,grays001,112.0,-122.0
2019-04-23,FLA,CLE,lopep002,carrc002,-230.0,205.0
2019-04-23,WSN,COL,corbp001,hoffj003,144.0,-154.0
2019-04-23,MIN,HOU,pinem001,milew001,-150.0,140.0
2019-04-23,PHI,NYM,efliz001,wheez001,-123.0,113.0
2019-04-23,TEX,OAK,lynnl001,montf0010,-140.0,130.0
2019-04-23,ARI,PIT,weavl001,willt002,-106.0,-104.0
2019-04-23,SEA,SDP,swane001,margn001,-132.0,122.0
2019-04-23,MIL,STL,daviz0010,poncd001,-117.0,107.0
2019-04-23,KCR,TBD,bailh0010,stanr002,-185.0,170.0
2019-04-23,SFG,TOR,samaj001,thort001,-106.0,-104.0
